,state,type,m²,posted_by,city,price_eur
827,used,2 bedroom,57.0,agency,Sarajevo - Centar,131580.0
828,used,2 bedroom,42.0,agency,Sarajevo - Stari Grad,104550.0
829,used,2 bedroom,55.0,agency,Foča,18105.0
830,used,4 bedroom,81.59,agency,Sarajevo - Novi Grad,221850.0
831,used,1 bedroom,26.36,agency,Zenica,40800.0
832,not listed,3 bedroom,60.0,agency,Istočno Sarajevo,99450.0
833,not listed,3 bedroom,79.0,agency,Banja Luka,168045.0
834,not listed,4 bedroom,86.0,agency,Banja Luka,150511.0
835,new,2 bedroom,56.0,agency,Banja Luka,86674.0
836,used,1 bedroom,36.0,individual,Travnik,40800.0
837,used,3 bedroom,66.03,agency,Istočni Stari Grad,226950.0
838,used,3 bedroom,64.0,agency,Banja Luka,123930.0
839,used,3 bedroom,55.0,agency,Banja Luka,86700.0
840,used,4 bedroom,100.0,agency,Banja Luka,188700.0
841,used,2 bedroom,51.0,agency,Banja Luka,130050.0
842,used,2 bedroom,66.0,agency,Banja Luka,130050.0
843,used,4 bedroom,113.0,agency,Sarajevo - Centar,229500.0
844,used,5+ bedroom,98.0,agency,Banja Luka,173400.0
845,used,3 bedroom,52.01,agency,Banja Luka,90185.0
846,used,4 bedroom,146.0,agency,Sarajevo - Novi Grad,612000.0
847,used,3 bedroom,90.0,agency,Sarajevo - Centar,459000.0
848,used,1.5 bedroom,35.0,agency,Zvornik,49980.0
849,used,2 bedroom,57.0,agency,Banja Luka,107100.0
850,used,3 bedroom,66.0,agency,Banja Luka,117560.0
851,used,3 bedroom,58.5,agency,Banja Luka,126990.0
852,used,studio,31.0,agency,Banja Luka,40290.0
853,used,2 bedroom,63.0,agency,Banja Luka,86700.0
854,used,3 bedroom,75.0,agency,Banja Luka,168300.0
855,used,4 bedroom,92.0,agency,Banja Luka,285600.0
856,used,2 bedroom,66.0,agency,Banja Luka,112200.0
857,used,4 bedroom,97.0,agency,Banja Luka,91800.0
858,used,2 bedroom,38.0,agency,Pale,109650.0
859,used,2 bedroom,60.0,agency,Banja Luka,143820.0
860,used,2 bedroom,32.55,agency,Banja Luka,66402.0
861,used,3 bedroom,58.15,agency,Banja Luka,118626.0
862,used,3 bedroom,77.0,agency,Banja Luka,140250.0
863,used,3 bedroom,92.0,agency,Prnjavor,117300.0
864,used,studio,29.0,agency,Banja Luka,51000.0
865,used,3 bedroom,67.0,agency,Srbac,57120.0
866,used,3 bedroom,57.4,agency,Banja Luka,117096.0
867,used,4 bedroom,122.0,agency,Banja Luka,248880.0
868,used,3 bedroom,74.0,agency,Banja Luka,122400.0
869,used,1.5 bedroom,49.5,agency,Doboj,71400.0
870,used,2 bedroom,46.0,agency,Banja Luka,96390.0
871,used,3 bedroom,68.0,agency,Banja Luka,135150.0
872,used,3 bedroom,70.0,agency,Banja Luka,95880.0
873,used,2 bedroom,70.0,agency,Banja Luka,234600.0
874,used,2 bedroom,51.0,agency,Banja Luka,96900.0
875,used,5+ bedroom,123.0,agency,Banja Luka,264644.0
876,used,3 bedroom,73.0,agency,Sarajevo - Novo Sarajevo,135150.0
877,used,4 bedroom,90.0,agency,Sarajevo - Novo Sarajevo,181050.0
878,used,3 bedroom,94.0,agency,Sarajevo - Centar,267750.0
879,used,3 bedroom,92.0,agency,Sarajevo - Centar,254490.0
880,used,3 bedroom,78.0,agency,Sarajevo - Centar,218790.0
881,used,2 bedroom,50.0,agency,Sarajevo - Centar,91290.0
882,used,3 bedroom,74.0,agency,Istočno Sarajevo,94860.0
883,used,4 bedroom,78.0,agency,Istočno Sarajevo,103428.0
884,used,4 bedroom,116.0,agency,Sarajevo - Novi Grad,354450.0
885,used,3 bedroom,78.0,agency,Sarajevo - Centar,218790.0
886,used,2 bedroom,60.0,agency,Zenica,56100.0
887,used,2 bedroom,51.0,agency,Ilijaš,89250.0
888,used,2 bedroom,63.0,agency,Ilidža,142800.0
889,used,1 bedroom,40.0,agency,Brčko,49082.0
890,used,3 bedroom,72.0,agency,Sarajevo - Stari Grad,168300.0
891,used,3 bedroom,93.0,agency,Sarajevo - Centar,285600.0
892,used,3 bedroom,65.0,agency,Kotor Varoš,50994.0
893,used,1 bedroom,31.3,individual,Sarajevo - Centar,104550.0
894,used,3 bedroom,59.0,agency,Sarajevo - Novi Grad,121890.0
895,used,studio,29.0,agency,Sarajevo - Novi Grad,60180.0
896,used,studio,27.0,agency,Sarajevo - Centar,99450.0
897,used,3 bedroom,78.0,agency,Istočni Stari Grad,357000.0
898,used,3 bedroom,79.0,agency,Sarajevo - Centar,193800.0
899,used,1 bedroom,37.0,agency,Sarajevo - Centar,63750.0
900,used,3 bedroom,80.0,agency,Sarajevo - Centar,204000.0
901,used,4 bedroom,89.0,agency,Sarajevo - Novi Grad,157590.0
902,used,2 bedroom,31.35,agency,Istočno Sarajevo,52762.0
903,used,2 bedroom,43.33,agency,Istočno Sarajevo,58599.0
904,used,2 bedroom,66.7,agency,Ilidža,115750.0
905,used,2 bedroom,37.57,agency,Istočno Sarajevo,48860.0
906,used,3 bedroom,57.0,agency,Sarajevo - Centar,254490.0
907,used,4 bedroom,123.0,agency,Sarajevo - Novi Grad,351390.0
908,used,3 bedroom,76.0,agency,Sarajevo - Novi Grad,183600.0
909,used,4 bedroom,81.31,agency,Ilidža,290276.0
910,not listed,2 bedroom,34.8,individual,Ilidža,76500.0
911,new,2 bedroom,39.0,individual,Istočno Sarajevo,94350.0
912,not listed,2 bedroom,57.0,agency,Banja Luka,95879.0
913,not listed,1 bedroom,33.0,individual,Sarajevo - Novo Sarajevo,68850.0
914,used,1.5 bedroom,45.0,individual,Srebrenica,17850.0
915,new,2 bedroom,33.0,individual,Banja Luka,84150.0
916,used,3 bedroom,70.0,individual,Sarajevo - Novi Grad,132600.0
917,used,3 bedroom,56.0,agency,Banja Luka,114750.0
918,new,4 bedroom,72.0,agency,Banja Luka,126684.0
919,not listed,2 bedroom,55.0,agency,Banja Luka,107100.0
920,new,3 bedroom,52.0,agency,Banja Luka,104362.0
921,new,2 bedroom,37.0,agency,Banja Luka,76377.0
922,new,3 bedroom,59.0,agency,Banja Luka,131272.0
923,new,2 bedroom,64.0,agency,Banja Luka,130050.0
924,new,2 bedroom,56.0,agency,Banja Luka,120830.0
925,not listed,3 bedroom,69.0,agency,Banja Luka,121792.0
926,new,3 bedroom,55.0,agency,Banja Luka,58905.0
927,new,3 bedroom,67.0,agency,Banja Luka,127372.0
928,not listed,2 bedroom,62.0,agency,Banja Luka,120156.0
929,new,2 bedroom,51.0,agency,Banja Luka,101836.0
930,new,2 bedroom,43.0,agency,Banja Luka,60545.0
931,new,2 bedroom,47.0,agency,Banja Luka,119850.0
